,time,low,high,open,close,volume
61,11:50:00,10194.03,10200.0,10194.04,10194.03,11.535034199999998
60,11:55:00,10194.03,10197.03,10194.03,10196.31,15.16731595
59,12:00:00,10194.03,10230.0,10196.3,10225.22,32.49395686
58,12:05:00,10214.79,10227.28,10222.9,10219.68,17.52993827
57,12:10:00,10218.44,10228.57,10219.68,10225.3,24.58946283
56,12:15:00,10196.48,10226.52,10225.31,10202.44,10.68856641
55,12:20:00,10202.28,10259.05,10202.44,10256.27,107.08919209999999
54,12:25:00,10252.19,10268.32,10255.81,10260.0,35.12344243
53,12:30:00,10241.74,10260.0,10259.99,10242.61,6.56286683
52,12:35:00,10234.94,10255.54,10241.75,10249.48,19.53247847
51,12:40:00,10246.9,10251.42,10250.91,10248.3,16.92226952
50,12:45:00,10227.36,10248.3,10248.3,10229.54,20.57456047
49,12:50:00,10229.19,10245.88,10229.54,10244.71,9.76243007
48,12:55:00,10242.44,10250.0,10245.88,10249.99,13.38295887
47,13:00:00,10249.99,10262.35,10249.99,10259.44,15.078340099999998
46,13:05:00,10238.41,10259.45,10259.45,10243.45,18.73748226
45,13:10:00,10230.18,10248.31,10243.16,10237.39,32.75123583
44,13:15:00,10235.57,10252.92,10237.39,10240.82,8.62540738
43,13:20:00,10229.4,10240.99,10240.99,10229.83,21.15427147
42,13:25:00,10218.33,10234.06,10233.51,10224.42,24.79543668
41,13:30:00,10210.61,10226.4,10224.4,10212.91,12.70476194
40,13:35:00,10211.32,10225.68,10212.91,10221.46,13.19728716
39,13:40:00,10219.98,10225.68,10221.47,10222.07,16.52066021
38,13:45:00,10212.62,10223.17,10222.07,10212.62,30.79970488
37,13:50:00,10202.88,10225.49,10210.8,10225.49,17.17940454
36,13:55:00,10223.2,10228.96,10224.07,10223.2,12.3860214
35,14:00:00,10203.37,10219.15,10217.86,10204.6,23.33414972
34,14:05:00,10193.06,10204.61,10204.61,10195.38,32.78288176
33,14:10:00,10181.34,10198.51,10195.01,10182.0,25.42338945
32,14:15:00,10175.0,10206.0,10182.0,10192.71,78.68508762
31,14:20:00,10177.83,10202.5,10192.7,10201.08,36.87738158
30,14:25:00,10197.24,10208.67,10200.39,10201.1,14.958457199999998
29,14:30:00,10198.0,10203.68,10201.11,10198.0,13.71829275
28,14:35:00,10176.0,10198.01,10198.01,10176.47,26.42109646
27,14:40:00,10176.0,10184.49,10176.47,10184.01,11.18811096
